kelime,tanımı nedir,ne işe yarar,nerede bulunur,yanında neler bulunur,içinde neler bulunur,hammaddesi nedir,üst kavramı nedir,kim kullanır,sıfatları,rengi,şekli nasıl,canlı cansız
ku,"['kanatlar olan ve genelikle bilen canlı', 'gaga', 'bilen canlı tür', 'kanal']","['bitkilerin toplamasına', 'ur', 'ter']","['', 'ev', 'karada ve havada', 'orman']","['', 'orman', 'ev', 'dal', 'meyve']","['tv', 'kalp', 'mide', 'kemik']","['kemik', 'et']","['hayvan', 'kanal']",,,"['mavi', 'sar', 'yeil']",,['canlı']
kulak,"['duymak ve dengeyi sayan uzuv', 'duyma işlevini yapan organ']","['duymaya', 'duymak ve dengede kalmak']","['insan ve hayvan vücudu', 'tavşan', 'baş her iki yannda', 'insan', 'hayvanlar', 'baş', 'başın her iki yanında', 'başvücut', 'başta', 'hayvan', 'insanlar', 'insan kafasında', 'kafa', 'canlı vücudu', 'vücut']","['ya', 'yanak']","['kemik', 'rs', 'et', 'zengi', 'ki', 'zar']","['kemik', '', 'toprak', 'deri', 'karbon', 'kan', 'hücreler', 'hücre', 'doku', 'kıkırdak', 'su', 'sinir', 'organik bileşikler', 'hayvan hücresi', 'et']",['organ'],['herkes'],,"['tek', 'tek rengi', 'krem', 'vucut rengi', 'kahverengi', 'beyaz', 'siyah', 'deri rengi']","['', 'içi boş', 'elips', 'kıvrımlı', 'dairesel', 'silindir yarısını', 'yarım daire', 'yuvarlak', 'şekilsiz', 'yassı']",['canlı']
kum,"['kayalar rüzgar ve suyla amasya olan tanecikler', 'deniz ve akarsularda karlan malzeme']","['etme', 'beton yapmaya', 'duvar rae', 'kapatma']","['deniz kenarı', 'deniz ve akarsu', 'doğa', 'sahil', 'deniz kenar', 'meyve', 'kafes', 'toprak', 'nalbur', 'kumsal', 'hırdavatçı', 'yer', 'akvaryum', 'deniz', 'deniz kıyısı', 'çöl', 'plaj', 'kara', 'cam', 'yere yatağı', 'inşaat']","['deniz', 'plaj', 'su', 'kaya', 'inşaat']",['mineraller'],"['', 'kaya parçası', 'kil', 'bileşik', 'kum', 'toprak', 'taş', 'minerali', 'kayaç', 'bentonit', 'büyük kayalar', 'silis', 'silisyum', 'kaya', 'granit']","['madde', 'malzeme']",['herkes'],,"['gri', 'bej', 'turuncu', 'renkli', 'kahverengi', 'açık kahverengi', 'krem', 'sarı', 'sar', 'beyaz']",['toz'],['cansız']
kuma,"['giyim ve eya semtinde kullanlan tekstil rn', 'elbise yapmaya yarayan nesne']","['giysi ve ev esas retmek', 'kıyafet yapmaya']","['tuhafiye', 'koltuk', 'giysi', 'perde']","['iplik', 'metre', 'ie', 'makas']",['iplik'],"['ipek', 'polyester', 'pamuk']","['gere', 'eya']",['herkes'],,"['pembe', 'yeil', 'btn renkler', 'beyaz', 'mavi']",['dz'],"['cansız', 'vans']"
kumaş,"['giyisi yapımı için kullanılan materyal', 'ipliklerin bir araya getirilerek oluşturduğu kaplayıcı düzey', 'pamuk yün gibi maddelerden dokunularak oluşturulan kıyafet üretiminde kullanılan malzeme', 'kıyafet üretilirken kullanılan malzeme', 'yün', 'ipliklerin bir araya gelmesiyle oluşan kaplayıcı yüzeyleridir', 'giysi yapımında kullanılan hammadde', 'pamuk', 'ipek gibi şeylerin ipliklerinden makinede dokunmuş her türlü dokuma', 've benzeri maddelerin ipliklerinden üretilen dokuma', 'ipek vanden makinede dokunmuş her türlü dokuma', 'pamuk gibi hammaddelerden dokunmuş ürün', 'dikimevlerinde kullanılan bez parçası', 'ipliğin okumasıyla oluşturulan', 'makinede dokunmuş bir ürün', 'ipliklerin birleşmesiyle oluşur', 'pamuğun işlenmesi sonucu oluşan işlenmeye hazır parça', 'giyim ve eşya sektöründe kullanılan tekstil ürünü', 'elbise yapmaya yarayan nesne', 'bir tekstil ürünü']","['mobilya üretiminde kullanılır', 'elbise dikilir', 'giysi üretiminde kullanılır', 'giysi ve ev eşyası üretmek', 'elbise yapmak', 'kıyafet kullanımı', 'dekor', 'kıyafet dikimi', 'oluşturmak', 'giysi dikme', 'elbise yaratmak', 'kıyafet yapmak', 'eşya kaplama kıyafet dokuma', 'kıyafet üretmek', 'giysi üretmek', 'giysi', 'giysi yapımında kullanılır', 'tekstil malzemelerine kullanılır', 'koltuk döşeme', 'tekstil üretimi', 'kıyafet yapımında', 'elbise', 'perse', 'giysi yapımında kullanılmak', 'eşyaların oluşturulması ve kaplanmasını sağlamak', 'giysi dikilir', 'dokumak', 'kıyafet yapılmasını sağlar', 'kiyafet dikmek', 'giyinmek', 'kıyafet yapılır', 'kıyafet yapmaya']","['mobilya', 'terzi', 'çarşafçı', 'dükkan', 'koltuk', 'kumaşçı', 'sandık', 'her yerde', 'tekstil dükkanı', 'tuhafiye', 'fabrika', 'tekstil mağazası', 'ev', 'tekstil fabrikası', 'giysi', 'mağaza', 'tuhafiyeci', 'çarşaf', 'tekstil', 'elbise', 'kıyafet', 'atölye', 'perde']","['dikiş makinesi', 'tornavida', 'vitrin', 'makine', 'maksa', 'metre', 'penye', 'ip', 'dikim makinesi', 'iplik', 'örtü', 'ütü', 'kıyafet', 'dikiş makinası', 'düğme', 'masa', 'makas', 'iğne', 'makas iğne']","['ipek', 'pamuk', 'düğüm', 'malzeme', 'yün', 'iplik', 'polyester', 'örgü', 'ip']","['naylon', 'ipek', 'pamuk', 'bitki', 'keten', 'yün', 'iplik', 'ağaç', 'polyester', 'yün pamuk', 'ip']","['', 'hammadde', 'örme', 'kıyafet', 'giysi', 'gereç', 'bez', 'eşya', 'giysi malzemesi', 'malzeme', 'iplik', 'alet', 'tekstil']","['tekstilci', 'terzi', 'insan', 'tasarımcı', 'döşemesi', 'insanlar', 'herkes']",,"['çeşitli', 'mor', 'beyaz', 'siyah', 'mavi', 'tercihe göre değişir', 'renkli', 'her renk', 'top', 'pembe', 'rengarenk', 'herhangi', 'karışık', 'yeşil', 'sarı', 'tüm renkler', 'kırmızı', 'bütün renkler', 'kahverengi', 'çok renkli']","['dikdörtgen', 'dörtgen prizma', 'kare', 'silindir', 'herhangi', 'düz ince', 'yuvarlak', 'katı', 'şekilsiz', 'düz', 'yumuşak', 'rulo']",['cansız']
kurdele,"['herhangi bir eyi süslemek iş kullanlan nesne', 'bir eyi süslemek iş kullanlan kuşatan ince erit']","['süslemeye', 'süslemek']","['', 'terzi', 'hediyelik eşya satın yerlerde', 'beden', 'saç', 'hediye dükkanı', 'tuhafiye', 'tekstil mağazası', 'ev', 'okul', 'giysi', 'mağaza', 'tuhafiyeci', 'çiçek', 'kırtasiye', 'elbise', 'manifaturacı', 'baş', 'hediyelik eya satın yerlerde', 'hediye paketi', 'toka']","['makas', 'paket', 'bot kad']",['iplik'],"['naylon', 'polyester', 'ipek', 'ipek kumaş', 'kuma', 'saten', 'keten', 'iplik', 'ağaç', 'kumaş', 'pamuk', 'ip']","['gere', 'eya']",['herkes'],,"['pembe', 'kırmızı', 'kriz', 'sarı', 'btn renkler', 'çeşitli', 'bütün renkler', 'çok renkli', 'her renk', 'yeşil', 'mor', 'siyah', 'mavi']",['dz'],"['canlı', 'cansız']"
kurdelec,"['çapraz şekilde bağlanan ince kumaştan oluşan aksesuar', 'giyisileri veya nesneleri süslemek amacıyla üzerine konulan kumaş benzeri malzemelerden yapılan eşya', '', 'ince kumaş parçası', 'saça veya giysinin yakasına takılan ince şerit şeklindeki kumaş', 'kıyafetleri süslemek veya bir şeyleri bağlamak için kullanılan eşya', 'uzun ve dar kumaş parçası', 'genellikle kırmızı şerit kumaş', 'bir tür ip', 'hediye paketi için kullanılan bir tekstil ürünü']","['takmak', 'bir şey bağlamak', 'süs olarak kullanılır', 'süsleme', 'bağlamak', 'giyecekleri süslemek', 'süslemek', 'üstüne birşeyler takılmasını sağlar', 'bağlanır', 'paketlemek', 'aksesuar']","['tuhafiye', 'dükkan', 'yaka', 'hediyelerin üstünde', 'ev', 'hediye', 'saç', 'kutu', 'hediye paketi']","['kıyafet', 'hediye kutusu', 'poşet', 'kutu', 'düğme', 'toka', 'iplik', 'hediye', 'makas', 'saç', 'ceket', 'paket', 'hediye paketi', 'iğne', 'gömlek']","['iplik', 'yün']","['ipek', 'pamuk', 'bitki', 'kauçuk', 'iplik', 'kumaş', 'plastik', 'polyester', 'ip']","['giysi', 'eşya', 'malzeme', 'aksesuar', 'kumaş', 'tekstil', 'süs', 'ip']","['insan', 'terzi', 'öğretmen', 'insanlar', 'herkes']",,"['kırmızı', 'rengarenk', 'renkli', 'herhangi', 'çok renkli', 'beyaz', 'siyah', 'mavi', 'tüm renkler']","['dikdörtgen', 'dar', 'uzun', 'uzun ince', 'şerit', 'ince uzun', 'fiyonk']",['cansız']
kurun,"['bir tür meta', 'doda bulunan az bir elementtir']","['delmek', 'radyasyona kar korunmak', 'izalasyon işleminde', 'patlatmak']","['silah', 'nükleer santral', 'fabrikada', 'mermi']","['makine', 'tabanca']","['ateşleyici', 'barut']","['demir', 'gm']","['elementi', 'madde']","['yetkili', 'herkes']",,"['gri', 'gm']",,['cansız']
kurşun,"['', 'atomu ağırlığı', 'silahlar tarafından ateşlenen bir tür meta', 'elementi', 'tüfek', 'cde eriyen', 'atomu numarası olan elementi', 'olan', 'silah muhimmatı', 'yoğunluğu', 'yumuşak', 'kolay bükülebilen', 'gri renkli bir elementi', 'yumuşak ve bükülgen', 'ağır bir meta', 'diğer metallere göre daha düşük sıcaklıkta eriyen', 'mavimsi gri renkte bir elementi', 'atomu numarası', 'meta bir elementi', 'tabanca vb hafif ateşli silahlarda kullanılan mermi', 'atomu numarası olan bir elementtir', 'doğada bulunan ağır bir elementtir', 'bir tür meta', 'periyodik tablonun elementi', 'bir çeşit elementi', 'mavimtırak esmer renkte bir elementi']","['mermi yapmak', 'balık tutmaya yarar', 'delmek', 'öldürmek', 'bir hedefi vurmak', 'üretim', 'radyasyona karşı korunmak', 'silahta mermi olarak kullanılır', 'koruma sağlamak', 'korunma', 'sıkılır', 'ateşleme', 'ateşli silahlarda kullanılır', 'oluşturmak', 'avcılık yapma', 'silaha takılır', 'patlatmak', 'yaralama', 'madde üretmek', 'akü imalatı', 'yazı yazmak', 'patlar', 'mermi yapımında kullanılır', 'demir çelik sanayiinde kullanılır', 'oltada ağırlık olarak kullanılır', 'adam öldürmek', 'vurmak', 'silah ateşlemek', 'izalasyon işleminde', 'mermi üretimi']","['fabrikada', 'tabanca', 'asker', 'nükleer santral', 'doğa', 'maden', 'olta dükkanı', 'toprakta', 'silah', 'akü', 'cephanelik', 'metaller', 'kalem', 'avcı', 'mermi']","['silah', 'silgi', 'sigara', 'makine', 'misina', 'tüfek', 'toprak', 'tabanca', 'kurşun', 'meta', 'pirinç', 'mermi', 'tahta', 'demir', 'dğer madenler', 'şarjör', 'olta iğnesi', 'bakır', 'kamuflaj', 'kelepçe', 'taş']","['ateşleyici', 'kurşun', 'ateş', 'demir', 'elektron', 'atomu', 'barut', 'elementi', 'bakır']","['', 'çelik', 'kurşun', 'plastik', 'antimuan kalsiyum kalay', 'demir', 'elektron', 'atomu', 'meta', 'elementi', 'gümüş', 'bakır']","['gereç', 'av malzemesi', 'metaller', 'maden', 'cephane', 'patlayıcı', 'silah', 'barut', 'demir', 'madde', 'alet', 'atomu', 'meta', 'elementi', 'mermi']","['polis', 'mühendis', 'kimyager', 'herkes', 'asker', 'insan', 'tetikçi', 'yetkili', 'lehimli', 'kullanma izni olanlar', 'insanlar', 'madenci', 'öğrenci', 'avcı', 'balıkçılar', 'katil']",,"['gri', 'altın sarısı', '', 'sarı', 'siyah', 'metalik', 'yeşil', 'antrasit', 'meta', 'gümüş', 'mavi gümüş', 'koyu mavi', 'altın']","['silindirik', 'toz', 'herhangi', 'silindir', 'huni', 'ova', 'toz tanecik', 'koni', 'tanecikli', 'sivri']",['cansız']
kutu,"['yalan korunup saklanması iş kullanlanbir nesne', 'ine eya konulan nesne']","['saklamak', 'ine eya konulur']","['maza', 'yeni taşınılmış ev', 'yeri', 'bagaj', 'dükkan', 'tekel', 'kargo arabası', 'vitrin', 'ofiste', 'ofis', 'fabrika', 'ev', 'depo', 'şarküteri', 'mağaza', 'maket', 'dolap', 'bakkal', 'iş yeri', 'kargo', 'kırtasiye', 'evde', 'ambalajlı', 'masa', 'işyeri', 'kargocu']","['masa', 'eya', 'dolap']","['evrak', 'eya', 'oyuncak', 'dosya']","['ahşap', 'mukavva', 'karton plastik', 'plastik', 'demir', 'karton', 'ağaç', 'meta', 'kağıt', 'tahta']",['eya'],['herkes'],,"['beyaz', 'siyah', 'mavi', 'btn renkler', 'renkli', 'her renk', 'sar', 'rengarenk', 'yeil', 'herhangi', 'karışık', 'kahverengi beyaz', 'yeşil', 'açık kahverengi', 'sarı', 'kahvrengi', 'tüm renkler', 'gri', 'bütün renkler', 'kahverengi', 'çok renkli']",['kp'],['cansız']
kuş,"['iki ayaklı', 'uçabilen bir tür hayvandır', 'sıcakkanlı', 'iki kanatlı uçucu bir hayvan', 'bir hayvan türü', 'uçan hayvan türü', 'yumurtlayan', 'uçabilen canlı türü', 'akciğerli', 'kanatlı bir hayvan', 'uçan bir canlı', 'hayvan', 'uçabilen', 'yumurtlayan hayvan', 'uçabilen omurgalı hayvanlar grubudur', 'omurgalı bir hayvan', 'gagalı', 'kanatları olan ve genelikle uçabilen canlı', 'hayvanların bir sınıfı', 'yumurtlayan omurgalılardan', 'uçabilen hayvanların ortak adı', 'iki kanatlı uçucu hayvanların ortak adı', 'kanatlı', 'uçabilen hayvan türü', 'yumurtlayarak çoğalan vücudu tüylerle kaplı gagası bulunan bir canlı sınıfı', 'vücudu tüylerle örtülü']","['yumurtasından faydalanma', 'besin değeri taşımak', 'avlama', 'hayvandır', 'eti yenilir', 'bitkilerin tozlaşmasına', 'etinden ve yumurtasından faydalanılır', 'uçar', 'uçma', 'doğadaki düzeni sağlar', 'uçmak', 'evcil hayvan olarak kullanılır', 'ekosisteme fayda sağlamak', 'ekosisteme faydalı olmak', 'yaşamak', 'insanlar yiyebilir', 'tüyleri sıcak tutar', 'haberleşmek', 'öter', 'ekolojik denge', 'mektup götürür', 'et üretimi', 'sevmek']","['sokak', 'kafes', 'gökyüzü', 'yer', 'doğa', 'petshop', 'ormani kafes', 'bahçe', 'orman', 'ev', 'hava', 'ağaç', 'dal', 'şehirler', 'karada ve havada', 'yuva']","['yavru', 'yumurta', 'yem', 'su', 'meyve', 'kafes yuva diğer kuşlar', 'civciv', 'kafes', 'serçe', 'orman', 'ev', 'hava', 'ağaç', 'dal', 'gökyüzü', 'bulut', 'yaprak', 'tüy', 'tavuk', 'çiçek', 'solucan', 'hayvanlar', 'kuş yuvası', 'kanat', 'taş', 'yuva']","['yumurta', 'deri', 'organlar', 'iç organları', 'kan', 'mide', 'organ', 'ayak', 'buğday', 'kum', 'kuyruk', 'dalak', 'kas', 'beyin', 'mısır', 'tüy', 'ekmek kırıntısı', 'böbrek', 'kemik', 'kalp', 'kanat', 'hücre', 'gaga', 'et']","['kemik', 'toprak', 'tüy', 'karbon', 'kas', 'kan', 'hücreler', 'hücre', 'doku', 'su', 'azot', 'hayvan hücresi', 'et']","['hayvan', 'omurgalı canlı', 'kanatlı', 'uçan memeli']","['pek shp', 'yaradan', 'insan', 'petshop', 'kümes sahipleri', 'doğa', 'postacı', 'kuşcu', 'insanlar', 'herkes', 'mont üreticileri']",,"['gri', 'kırmızı', 'alacalı', 'siyah', 'herhangi', 'karışık', 'çeşitli', 'her renk', 'kahverengi', 'çok renkli', 'yeşil', 'beyaz', 'sarı', 'mavi', 'mavi kara beyaz', 'tüm renkler']","['iki ayaklı kanatlı', 'iki ayaklı', 'toprak', 'gagalı', 'küçük', 'tüylü', 'kanatlı']",['canlı']
kyat,"['kanepe ve yatak olarak kullanlan mobilya', 'bir tür koltuk', 'koltuk ve yatak grevini girebilen eya']","['oturmak', 'sene oturmak yada yatmak saat', 'dinlenmek', 'uyumak']","['oda', 'oturma odas', 'salon']","['televizyon', 'sehpa', 'kırlent', 'masa', 'koltuk']","['pamuk', 'giysi', 'yorgan', 'kuma', 'raf', 'sünger']","['ahap', 'tahta', 'kuma', 'meta']","['mobilya', 'eya']","['insan', 'misafir']",,"['her renk', 'gri', 'yeil']",['dikdörtgen'],['cansız']
kz,"['ayak otl hayvan', 'erkek sr']","['ya sürmek', 'tarla sürmek']",['ahr'],"['ahr', 'inek']","['hücre', 'proteini', 'su']","['hücre', 'proteini', 'su']",['hayvan'],"['insan', 'fc']",,"['beyaz', 'kriz', 'siyah', 'sar']",['kocaman'],['canlı']
kömür,"['içinde yüksek oranda karbon bulunan katı yakıt', 'yer altından çıkarılan bir maden', 'yanıcı siyah renkli maden', 'karbon temelli katı ve koyu renkli kayaç', 'bir tür maden', 'bitkisel kaynaklı maden', 'yanan bir tür madendir', 'isınmak için kullanılan maden', 'ısınmak amacıyla kullanılan bir maden', 'doğal kaynak', 'yanan bri taş', 'bir karbon allotropu', 'bir karbon türevi', 'ısınmak için kullanılan maden', 'ateş yakarken kullanılan katı yakıt', 'siyah renkli katı yakıt', 'bir yakıt çeşidi', 'siyah renkli', 'karbonlu maddelerin kapalı ve havasız yerlerde için için yanmasından veya çok uzun süre derin toprak katmanları altında kalıp birtakım kimyasal değişmelere uğramasından oluşan', 'karbondan yapılan nesne', 'bitkisel kaynaklı', 'karbon temelli yakarak ısınmayı sağlayan bir madde', 'bitki kökenli fosil yanıcı bir madde']","['ısınma', 'yakılır', 'yakıt', 'ateş yakmak', 'ısınma ve pişirmede kullanılır', 'yakacak', 'ısınmaya', 'ısınmak için', 'mangal yapmak', 'soba yakmak', 'ısı sağlamak', 'ısıtmak', 'bir yakıt çeşidi', 'ısınma sağlamak', 'yanarak ısı üretir', 'sıcak tutmak', 'yakıt olarak kullanılır', 'yakmak', 'ısınmak', 'enerji üretmek', 'yakacak olarak kullanılmak', 'yanar', 'yemek pişirmek', 'enerji üretimi']","['toprağın altında', 'yeraltında', 'doğa', 'kömür ocağında', 'yerküre', 'yeraltı', 'kalan dairesi', 'kömürcü', 'kömürlük', 'ocak', 'bahçe', 'ev', 'kalan', 'soba', 'kiler', 'okul', 'hırdavatçı', 'torba', 'yemek mekanları', 'maden', 'mangal', 'kova', 'kömür ocağı', 'zonguldak', 'santral']","['', 'fosil madenler', 'taş', 'ateş', 'vagon', 'petro', 'işçi', 'kaya', 'toprak', 'odun', 'kalan', 'soba', 'çıra', 'altın', 'kepçe', 'gaz', 'kül', 'madenci', 'kömür', 'sopa', 'mangal', 'kağıt', 'mağara', 'çay', 'kürek']","['ise', 'sıra gazı', 'toprak', 'odun', 'bitki', 'karbon', 'karbonmonoksit', 'kepçe', 'kül', 'oksijen', 'yanıcı madde', 'atomu', 'elementi', 'azot', 'taş']","['fosil', 'fosil kalıntılar', 'odun', 'meşe odunu', 'oksijen', 'karbon', 'bitki', 'hidrojen', 'atomu', 'azot', 'taş', 'bakır', 'karbon elementi']","['katı yakıt', 'doğal kaynak', 'yeraltı kaynakları', 'yer altı kaynak', 'eşya', 'ateş', 'hammade', 'maden', 'yakıt', 'kül', 'kayaç', 'malzeme', 'madde', 'alet', 'yanıcı maden', 'yakacak', 'ısıtma', 'nesne']","['sanayiciler', 'sobacı', 'insan', 'ateş', 'restaurants', 'mangalı', 'kaloriferci', 'kapıcı', 'insanlar', 'işçi', 'herkes']",,"['siyah', 'siyaz']","['dikdörtgen', 'sert', 'silindirik', 'kaya taş', 'parça', 'herhangi', 'büyük', 'küresel', 'yuvarlak', 'şekilsiz', 'beşgen']",['cansız']
kükürt,"['', 'atomu ağırlığı', 'sarı renki bir elementi', 'kokusu ve tadı olmayan elementi', 'elementi', 'doğada yaygın olarak bulunan bir elementi', 'kimsayasal madde', 'ametal bir elementi', 'bir elementi', 'sabun yapımında kullanılan malzeme', 'atomu numarası olan elementi', 'olan', 'kokusuz', ' dek eriyen ve  dek kaynayan', 'sülfür simgesi ', 'bir elementi türü', 'doğada saf veya başka cisimlerle birleşik olarak bulunan', 'simgesi  olan elementi', 'kimyasal elementi', 'katı bir elementi', 'atomu numarası', 'sarı renkli elementi', 'süle', 'bir çeşit elementi', 'periyodik tablonun elementi']","['', 'deri hastalıklarını tedavi etmek', 'kibrit yapmak', 'sabun yapmak', 'sülfürik asit üretimi', 'bileşik olmak', 'barut yapmak', 'sülfürik asit oluşturmak', 'oluşturmak', 'bitkilerin kükürt ihtiyacı olduğunda', 'ilaç', 'fabrikada kullanılır', 'gübre yapımı', 'kibrit', 'hammadde', 'vücudu zehirlerden temizlemek', 'kayısı kurutmaya yarar', 'endüstriyel üretim', 'elementtir', 'deri tırnak gelişimi', 'sülfürik asit', 'katkı maddeleri üretimi', 'insanlar zirai ilaç olarak kullanabilir', 'sülfirik asit üretimi', 'üretim hammaddesi', 'sanayide üretimde kullanılmak', 'kimya', 'madde oluşturmak', 'sülfirik asit yapımında kullanılır', 'endüstride kullanılır', 'sabun yapılmasını sağlar', 'tiyosülfat üretiminde']","['', 'sabun', 'kaplıca', 'doğa', 'gübre', 'yangın tüpü', 'barut', 'deniz dibi', 'kabak tatlısı', 'kimya ve tarım endüstrisi', 'doğu', 'toprak', 'ilaç', 'ilaç dükkanı', 'yanardağ', 'kibrit', 'sanayi', 'tarla', 'sağlık', 'dünyanın derin katmanlarında', 'petro ürünleri', 'maden', 'deterjan', 'kimsayasal tesis', 'labarotuar', 'kimya', 'volkan', 'periyodik tablo', 'inşaat']","['gübre', 'çinko', 'su', 'kireç taşı', 'kayısı', 'kum', 'toprak', 'oksijen', 'ilaç', 'kibrit', 'pantolon', 'kobalt', 'meta', 'lav', 'tahta', 'şap', 'diğer madenler', 'demir', 'kömür', 'bakır', 'alçı taşı', 'diğer elementler', 'eldiven', 'azot', 'taş']","['kil', 'kalsiyum sülfat', 'oksijen', 'alçı taşı', 'doğal gazlar', 'minerali', 'sülfür', 'elektron', 'atomu', 'kumaş', 'elementi', 'kükürt', 'kireç taşı']","['', 'kükürt', 'oksijen', 'hidrojen sülfür', 'sülfür', 'elektron', 'atomu', 'elementi', 'sülfirik asit', 'hidrojen sülfürlü', 'taş']","['kıyafet', 'doğal kaynak', 'madeni', 'maden', 'gübre', 'madde', 'alet', 'atomu', 'katı cisim', 'elementi']","['sanayiciler', 'kimyager', 'tekniker', 'çiftçiler', 'insan', 'doğa', 'sanayici', 'ziraatçı', 'kimyacı', 'insanlar', 'işçi', 'çiftçi', 'herkes', 'kimyacılar']",,"['gri', 'sarı', 'limon sarısı', 'yarı şeffaf', 'baş sarısı', 'metalik', 'yeşil', 'beyaz', 'siyah']","['yarı katı', 'toz', 'kaya taş', 'küre', 'sıvı', 'tane', 'herhangi', 'tanecik', 'şekilsiz', 'katı', 'parçalı']",['cansız']
kül,"['yakılan maddenin arkasında bıraktığı tozumsu atık', 'bir maddenin yakılmasından sonra geriye kalan katı madde', 'bir şey yandıktan sonra kalan şey', 'yanan nesnelerin ardında bıraktığı kalıntı', 'iyice yanmış şeylerden artakalan', 'ateş yandıktan sonra arkada bıraktığı artık', 'maddelerin yandıktan sonra oluşturdukları madde', 'yanmış bir cismin kalıntısı', 'kömürün yanması sonucu oluşan atık', 'yanardağ kalıntısı', 'ateş söndükten sonra oluşan gri toz', 'ateş yaktıktan sonra yanan şeyden geriye kalan madde', 'yanan şeylerden artakalan toz madde', 'yanmış şeylerden arta kalan madde', 'toz durumunda madde', 'yanan şeylerden arta kalan toz madde', 'odunun ve ya kömürün yanması sonucunda oluşan yapı', 'yanan maddelerden arta kalan toz birikintisi', 'odun ve kömür yandıktan sonra kalan nesne']","['toprağı beslemek', 'anka kuşunun doğmasını sağlar', 'gümüş parlatmak', 'gübre', 'boyama', 'örtmek', 'deri terapisi', 'ateşin söndüğünü göstermek', 'insanlar ateş söndürmede kullanabilir', 'ateşi harcamak', 'yangın sonrası', 'bitkilerin gelişimine katkı sağlamak', 'dökülür', 'çamaşır beyazlatma', 'sağlıklı bahçe toprağı korunmasını sağlar', 'tarımda kullanılır', 'temizlemek', 'kuşların temizlenmesini sağlar', 'temizlik ve bitkilerin büyümesinde', 'cilt maskesi']","['krematoryum', 'taşfırın', 'doğa', 'ateş', 'tandır', 'sigara', 'ocak', 'şömine', 'kül tablası', 'yangın', 'ev', 'yanardağ', 'soba', 'yemek mekanları', 'mangal', 'fırın', 'mangal dibi', 'küllük', 'tabla', 'yangın yeri', 'inşaat']","['odun', 'ateş', 'bina', 'kül tablası', 'gaz', 'kül', 'et', 'kibrit', 'sigara', 'köz', 'soba', 'kömür', 'mangal', 'taş', 'dağ', 'şömine', 'tencere']","['alüminyum', 'ateş', 'yanmış atık', 'fosfor', 'çinko', 'bor', 'titanyum', 'yanmış madde', 'gümüş', 'ateşi sönmüş parçacıklar', 'sodyum', 'kum', 'odun', 'toz', 'kurşun', 'cıva', 'atomu', 'brom', 'stronsiyum', 'lav', 'talyum', 'yanık kömür', 'vanadyum', 'karbon', 'demir', 'duman', 'kömür', 'kağıt', 'kalay', 'arsenik', 'baryum', 'magnezyum', 'atık maddeler', 'ise', 'lityum', 'yanmış odun', 'köz', 'toz tanecik', 'izmarit', 'kükürt']","['ahşap', 'alüminyum', 'fosfor', 'çinko', 'bor', 'sigara', 'titanyum', 'yanmış madde', 'gümüş', 'sodyum', 'kum', 'odun', 'kurşun', 'cıva', 'ağaç', 'atomu', 'stronsiyum', 'brom', 'lav', 'talyum', 'vanadyum', 'odun kömür', 'herhangi', 'demir', 'kömür', 'kağıt', 'kalay', 'magnezyum', 'arsenik', 'baryum', 'lityum', 'yanıcı madde', 'kükürt', 'taş']","['', 'atık maddeler', 'doğal kaynak', 'atık', 'toz', 'eşya', 'ateş', 'malzeme', 'ev', 'madde', 'elementi', 'yanık', 'kimyasal tepkime']","['doğa', 'anka', 'ziraat mühendisi', 'fırıncı', 'sobacı', 'mangalı', 'bahçıvanlar', 'herkes', 'bitkiler', 'kimyager', 'çamaşırcı', 'insanlar', 'kebapçı', 'kuş', 'tavuk', 'çiftçi', 'ev sahibi', 'tarımcı', 'insan']",,"['gri', 'beyaz', 'siyah']","['toz', 'parça', 'toz halinde', 'herhangi', 'dörtgen', 'toz tanecik', 'tanecikli']",['cansız']
